page_type,column,layout
101,7,"[[0, 0, 5, 5], [5, 0, 2, 15, 4], [0, 5, 2, 10, 3], [2, 5, 3, 10, 2]]"
101,7,"[[0, 0, 5, 9, 2], [5, 0, 2, 15, 4], [0, 9, 2, 6], [2, 9, 3, 6]]"
100,7,"[[0, 0, 5, 11, 3], [5, 0, 2, 15, 3], [0, 5, 4, 4], [4, 5, 1, 4]]"
101,7,"[[0, 0, 5, 11, 3], [5, 0, 2, 15, 3], [0, 5, 4, 4], [4, 5, 1, 4]]"
100,7,"[[0, 0, 5, 10, 3], [5, 0, 2, 15, 3], [0, 5, 2, 5], [2, 5, 3, 5]]"
100,7,"[[0, 0, 5, 6], [5, 0, 2, 15, 2], [0, 6, 4, 7, 2], [4, 6, 1, 7], [0, 13, 2, 2], [2, 13, 3, 2]]"
101,7,"[[0, 0, 5, 6], [5, 0, 2, 15, 2], [0, 6, 4, 7, 2], [4, 6, 1, 7], [0, 13, 2, 2], [2, 13, 3, 2]]"
101,7,"[[0, 0, 5, 6], [5, 0, 2, 15, 3], [0, 6, 3, 9, 2], [3, 6, 2, 9, 2]]"
100,7,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 3, 8], [3, 7, 4, 8, 3]]"
101,7,"[[0, 0, 5, 7], [5, 0, 2, 7], [0, 7, 3, 8], [3, 7, 4, 8, 3]]"
100,7,"[[0, 0, 5, 11, 2], [5, 0, 2, 15, 3], [0, 11, 2, 4], [2, 11, 3, 4]]"
101,7,"[[0, 0, 5, 11, 2], [5, 0, 2, 15, 3], [0, 11, 2, 4], [2, 11, 3, 4]]"
100,7,"[[0, 0, 5, 13, 3], [5, 0, 2, 15, 3], [0, 13, 2, 2], [2, 13, 3, 2]]"
101,7,"[[0, 0, 5, 13, 3], [5, 0, 2, 15, 3], [0, 13, 2, 2], [2, 13, 3, 2]]"
2,7,"[[0, 0, 5, 12, 2], [5, 0, 2, 15, 3], [0, 12, 2, 3], [2, 12, 3, 3]]"
101,7,"[[0, 0, 5, 12, 2], [5, 0, 2, 15, 3], [0, 12, 2, 3], [2, 12, 3, 3]]"
100,7,"[[0, 0, 5, 7], [5, 0, 2, 11, 2], [0, 7, 3, 8], [3, 7, 2, 4], [3, 11, 4, 4]]"
20,7,"[[0, 0, 5, 6], [5, 0, 2, 6], [4, 6, 3, 9, 2], '9단21']"
100,6,"[[0, 0, 4, 15, 3], [4, 0, 2, 15, 4]]"
101,7,"[[0, 0, 5, 7], [5, 0, 2, 15, 3], [0, 7, 4, 6, 2], [4, 7, 1, 6], [0, 13, 2, 2], [2, 13, 3, 2]]"
100,6,"[[0, 0, 6, 4], [0, 4, 1, 11, 2], [1, 4, 5, 11, 2]]"
100,6,"[[0, 0, 6, 5], [0, 5, 1, 5], [1, 5, 2, 5], [3, 5, 3, 10, 2], [0, 10, 3, 5]]"
